Gene	sgRNA	Control|beta	Control|z	Control|p-value	Control|fdr	Control|wald-p-value	Control|wald-fdr
KLRG1	4	0.067995	0.45817	0.54688	0.89186	0.64683	0.78465
RPS8	4	-2.3741	-3.904	9.9433e-05	0.0097087	9.4607e-05	0.010997
ZNF112	4	0.011261	0.24117	0.746	0.94873	0.80943	0.89103
PSMA2	4	-1.3198	-2.141	0.0047231	0.087638	0.032276	0.34716
JMJD6	4	-0.20016	-1.1607	0.62409	0.92356	0.24575	0.52739
MSX2	4	-0.21382	-1.0405	0.59496	0.91087	0.2981	0.56306
SIRPB1	4	0.18949	1.5323	0.20369	0.65699	0.12546	0.5
MIA2	4	-0.28159	-1.4295	0.46664	0.85397	0.15285	0.5
SPATA22	4	0.35178	1.3547	0.024809	0.23876	0.1755	0.5
TRIM69	4	-0.025194	-0.14561	0.8767	0.97498	0.88423	0.93578
OBSL1	4	0.20782	1.2923	0.16864	0.61639	0.19626	0.50354
DEFB136	4	0.001034	0.01924	0.78249	0.95699	0.98465	0.99225
FRRS1	4	-0.14665	-1.2255	0.74953	0.94943	0.2204	0.513
GGNBP2	4	-0.17577	-1.5689	0.67883	0.93701	0.11668	0.5
AMN1	4	0.13749	0.73953	0.32579	0.77049	0.45958	0.68929
TANGO2	4	-0.125	-1.5983	0.80635	0.96245	0.10998	0.5
MARCKS	4	-0.087066	-0.52761	0.91638	0.98216	0.59777	0.75345
ASCL3	4	-0.37986	-1.6767	0.32231	0.76922	0.093595	0.5
PSMC2	4	-1.405	-3.2262	0.0032316	0.069817	0.0012543	0.051913
GRM2	4	0.16807	0.97818	0.24923	0.70655	0.32799	0.5856
MXRA7	4	-0.20827	-2.0202	0.60575	0.91554	0.043364	0.39758
ARGFX	4	0.33087	1.4696	0.033559	0.2787	0.14167	0.5
CCDC28B	4	-0.15123	-1.3355	0.73665	0.94793	0.1817	0.50089
BMP8A	4	0.20094	0.93879	0.17963	0.62693	0.34784	0.59988
SAMD7	4	0.12537	0.54701	0.35955	0.79216	0.58437	0.74757
PURG	4	0.0098894	0.10781	0.75107	0.94978	0.91415	0.95359
OR6B2	4	0.18099	0.93867	0.22174	0.67673	0.3479	0.59989
ARHGAP4	4	0.034776	0.18797	0.66332	0.93451	0.8509	0.91583
MICA	4	0.30371	1.1863	0.051457	0.363	0.23549	0.5218
TBC1D14	4	0.43533	1.0799	0.0081038	0.12101	0.28018	0.55028
ACSBG1	4	0.1381	1.529	0.3246	0.77049	0.12626	0.5
C8orf46	4	0.10439	0.81854	0.42383	0.83018	0.41305	0.65177
MYOM2	4	0.25157	1.3874	0.10157	0.50172	0.16533	0.5
MYO1H	4	-0.16217	-1.6861	0.7103	0.94339	0.091769	0.5
HPSE2	4	0.25242	1.1858	0.10043	0.49889	0.2357	0.5218
OR11H6	4	0.064704	0.75546	0.55678	0.89575	0.44998	0.68226
CXCL14	4	0.11578	1.153	0.38873	0.80967	0.2489	0.52847
PSEN2	4	0.037832	0.447	0.65154	0.93108	0.65488	0.79084
CTCFL	4	-0.19797	-1.0773	0.62901	0.92573	0.28133	0.55062
TSPYL2	4	0.15412	0.75158	0.28393	0.73929	0.4523	0.68388
WDFY3	4	0.22137	1.3615	0.14448	0.58137	0.17335	0.5
SOX11	4	0.29539	1.3845	0.057721	0.38479	0.16621	0.5
CLRN3	4	0.012048	0.13507	0.74426	0.94873	0.89255	0.94086
GLT8D2	4	0.17806	0.81831	0.22755	0.68363	0.41318	0.65182
C14orf169	4	-0.066566	-0.87054	0.98156	0.99737	0.38401	0.62811
FBXW4	4	0.030501	0.2753	0.67933	0.93701	0.78309	0.87641
MOB3C	4	-0.044059	-0.35966	0.94312	0.98715	0.7191	0.83404
MTMR8	4	0.20841	1.4097	0.16725	0.61432	0.15862	0.5
ASAP1	4	0.081461	0.66579	0.4996	0.87163	0.50554	0.72173
ANTXRL	4	-0.032218	-0.36229	0.90186	0.9799	0.71714	0.83269
TAC1	4	0.37179	1.4923	0.018843	0.20598	0.13562	0.5
MYH14	4	-0.17773	-1.7184	0.67401	0.93655	0.085715	0.5
LTN1	4	0.060066	0.67288	0.571	0.9027	0.50102	0.71885
NEURL4	4	-0.171	-1.5834	0.69041	0.9396	0.11332	0.5
SLC16A2	4	0.23272	1.5683	0.12747	0.55486	0.11681	0.5
GZMB	4	0.046036	0.49377	0.62121	0.92221	0.62147	0.76773
LPAR1	4	0.037621	0.38892	0.65273	0.93141	0.69733	0.8201
C4BPB	4	0.10347	0.70907	0.42662	0.83101	0.47828	0.70312
IFT57	4	0.23884	1.619	0.11783	0.53627	0.10544	0.5
BMP2	4	0.33632	1.1501	0.030874	0.26767	0.2501	0.52877
CREG2	4	-0.24121	-1.1036	0.53863	0.88687	0.26979	0.54304
DKC1	4	-1.8768	-3.0775	0.0002983	0.015345	0.0020873	0.071664
PCDHB1	4	0.069948	0.54994	0.53947	0.88753	0.58236	0.74693
UHRF1	4	-2.1137	-4.0932	0.00014915	0.0097087	4.2553e-05	0.0079855
CACNG7	4	0.18237	1.0652	0.21836	0.6729	0.28677	0.55444
NKTR	4	-0.10799	-1.1484	0.85463	0.97157	0.2508	0.52894
MAGEL2	4	0.1147	0.80889	0.39172	0.81143	0.41858	0.65509
SPTBN5	4	-0.01235	-0.14412	0.83236	0.96752	0.88541	0.93653
PLEKHM2	4	-0.30672	-1.4365	0.42448	0.83018	0.15085	0.5
PCDHGB7	4	-0.14581	-0.69787	0.75226	0.94978	0.48526	0.70807
PPP3CA	4	0.26401	1.6166	0.085811	0.46113	0.10596	0.5
TRIM59	4	0.08029	0.45169	0.50383	0.87327	0.65149	0.78793
SLC29A1	4	-0.31455	-0.76511	0.41315	0.82613	0.44421	0.67755
SART3	4	-2.0858	-3.522	0.00014915	0.0097087	0.00042831	0.026838
RBM22	4	-0.96202	-1.6144	0.02635	0.24594	0.10644	0.5
CNR2	4	0.20975	1.2648	0.16426	0.60892	0.20594	0.50644
ZNF165	4	-0.085635	-0.62434	0.92045	0.98277	0.5324	0.73441
BICC1	4	0.18208	1.273	0.21945	0.67492	0.20301	0.50508
MAGEA10-MAGEA5	4	-0.14443	-0.4552	0.75544	0.95034	0.64896	0.78601
SURF2	4	-0.030646	-0.3738	0.89594	0.97866	0.70856	0.8273
DCLK3	4	0.18038	1.1464	0.22288	0.67765	0.25162	0.53006
STK26	4	0.21021	1.1736	0.16347	0.6081	0.24057	0.52553
GP9	4	-0.0065888	-0.073969	0.81152	0.96307	0.94103	0.96848
OR5B21	4	0.16241	1.2633	0.2623	0.721	0.20647	0.50644
ZCWPW2	4	-0.061746	-1.0343	0.99697	0.99905	0.30099	0.56451
PAICS	4	-1.0599	-2.291	0.017351	0.19552	0.021962	0.28462
TPM3	4	-0.30169	-1.2239	0.43333	0.83647	0.221	0.51319
NPL	4	-0.44221	-1.5705	0.24958	0.70694	0.1163	0.5
C1orf159	4	0.025705	0.34452	0.69698	0.94167	0.73045	0.84216
FAM221B	4	0.25234	1.2822	0.10048	0.49889	0.19978	0.50387
ZC3H7B	4	0.14445	0.94688	0.30859	0.75871	0.3437	0.59704
BCCIP	4	-0.18838	-1.0497	0.65019	0.93056	0.29385	0.5603
CDK18	4	-0.58306	-2.1719	0.13767	0.57305	0.029867	0.33435
AIG1	4	0.28517	1.4713	0.06488	0.40534	0.14122	0.5
KRTAP20-3	4	0.14058	1.5765	0.31814	0.76557	0.11491	0.5
NETO2	4	0.35542	1.182	0.023367	0.23107	0.2372	0.52262
CD209	4	0.18453	1.121	0.21353	0.6663	0.26227	0.53807
SESN3	4	0.092112	0.92654	0.46376	0.85156	0.35417	0.60432
SNAP91	4	0.15089	1.6298	0.29204	0.74632	0.10315	0.5
PARD6G	4	0.11415	1.143	0.39376	0.81314	0.25304	0.53116
ENPP5	4	0.24112	1.5203	0.11539	0.53307	0.12844	0.5
RWDD2A	4	-0.16376	-1.4537	0.70627	0.94235	0.14602	0.5
IL27	4	-0.14016	-1.7641	0.76583	0.95316	0.07772	0.5
GLIS2	4	-0.48117	-1.979	0.21125	0.66443	0.047821	0.41567
SEMA6A	4	0.31186	1.4942	0.044795	0.33004	0.13511	0.5
FAM160B2	4	0.22076	1.3597	0.14552	0.58259	0.17393	0.5
SHPK	4	0.023004	0.48054	0.70568	0.9422	0.63084	0.77384
PTPRH	4	0.092086	0.45598	0.46381	0.85156	0.64841	0.78565
CHD7	4	0.34445	1.4393	0.027792	0.25259	0.15007	0.5
RTN4	4	0.10123	0.77836	0.43462	0.83704	0.43636	0.67086
STX19	4	0.1756	1.1107	0.23252	0.6887	0.26668	0.54101
GLE1	4	-0.9389	-2.4944	0.028885	0.25834	0.012616	0.2075
PLEKHA4	4	-0.070992	-0.81884	0.96659	0.99387	0.41288	0.65165
AQP9	4	0.18505	1.2867	0.21279	0.66558	0.19821	0.50359
IMP4	4	-3.153	-4.5061	9.9433e-05	0.0097087	6.6044e-06	0.003176
RGS12	4	-0.24898	-1.1016	0.52297	0.87918	0.27063	0.5438
SERPINA11	4	-0.10595	-1.0226	0.85985	0.97215	0.30651	0.56884
USP17L7	4	0.2862	1.5541	0.063985	0.40269	0.12016	0.5
AGER	4	0.23919	1.5383	0.11733	0.53563	0.12397	0.5
PINX1	4	-0.14157	-1.1017	0.76171	0.95227	0.27061	0.5438
ASAH2	4	0.12691	1.244	0.35513	0.79129	0.2135	0.50947
FCGR2B	4	-0.10937	-1.0155	0.8502	0.97027	0.30987	0.57184
TTR	4	0.33492	1.3936	0.031719	0.27277	0.16343	0.5
CUZD1	4	-0.028658	-0.16105	0.88988	0.9783	0.87205	0.9289
KIF23	4	-0.94135	-2.0334	0.028736	0.25735	0.042009	0.39349
SEC14L3	4	0.0088169	0.12376	0.75505	0.95034	0.9015	0.94585
BMP15	4	0.14483	1.4184	0.3073	0.75766	0.15609	0.5
ZNF624	4	0.20911	0.94505	0.16576	0.61219	0.34463	0.59766
ZNF283	4	-0.49351	-1.2784	0.20026	0.65327	0.2011	0.50454
EML5	4	-0.1816	-1.7303	0.66466	0.93497	0.08358	0.5
PTEN	4	-0.08862	-0.60083	0.9116	0.98106	0.54795	0.73651
PPP6R2	4	-0.50415	-1.1134	0.19215	0.6446	0.26552	0.54055
NES	4	-0.27523	-1.9554	0.47643	0.85996	0.050539	0.42557
FAM83B	4	0.15401	1.0148	0.28393	0.73929	0.31019	0.57184
MRPS28	4	-0.88776	-2.214	0.03679	0.29565	0.026827	0.31647
PARK2	4	0.056069	0.73479	0.58427	0.90625	0.46247	0.69111
OTUD7A	4	-0.10259	-0.67375	0.86905	0.97385	0.50047	0.71851
NDUFV2	4	-1.0595	-2.0281	0.017351	0.19552	0.042552	0.39515
GIGYF2	4	-0.12392	-1.6574	0.80988	0.9626	0.097446	0.5
TRAPPC1	4	-1.5246	-2.5537	0.0021875	0.056848	0.010659	0.18774
SMOX	4	-0.038661	-0.3012	0.92483	0.98366	0.76327	0.86448
NEUROG2	4	0.032956	0.21027	0.67078	0.93617	0.83346	0.90617
TAF6L	4	-2.0109	-4.0607	0.00014915	0.0097087	4.8919e-05	0.0083065
OCIAD1	4	0.032238	0.28146	0.67321	0.93639	0.77836	0.87346
LTV1	4	-0.41372	-1.5713	0.28239	0.73906	0.11611	0.5
C1orf141	4	0.30243	1.4942	0.05255	0.36804	0.13512	0.5
TBC1D3	4	-1.1257	-2.4549	0.011932	0.15544	0.014093	0.22134
CCDC73	4	0.016132	0.13892	0.73034	0.9467	0.88952	0.93918
GABRB3	4	0.23249	1.3976	0.12777	0.55532	0.16223	0.5
CLEC2B	4	0.27638	1.0626	0.072387	0.42748	0.28795	0.55473
OGDH	4	-1.138	-2.4072	0.011236	0.14927	0.016074	0.23879
C2orf81	4	-0.3586	-1.6712	0.35025	0.78838	0.094677	0.5
NLRP14	4	0.051323	0.23276	0.60301	0.9149	0.81595	0.89549
TEAD2	4	-0.32852	-2.0139	0.39271	0.81224	0.044022	0.40048
TMEM150B	4	0.054357	0.35089	0.59108	0.90929	0.72567	0.83844
NDUFA11	4	-3.0402	-5.1165	9.9433e-05	0.0097087	3.1124e-07	0.00039127
HELLS	4	-0.13281	-0.58229	0.78527	0.95699	0.56037	0.74014
TMEM11	4	-0.042022	-0.40993	0.93636	0.98551	0.68186	0.80952
MED12	4	-1.3912	-2.6122	0.0035796	0.073926	0.0089956	0.16784
TRIM34	4	0.29155	1.2037	0.060157	0.39108	0.22871	0.51704
PTAR1	4	-0.71424	-1.6694	0.079497	0.44491	0.095033	0.5
HOXD4	4	0.31873	1.2329	0.040519	0.31288	0.2176	0.51114
CHCHD7	4	0.1281	1.224	0.35199	0.78939	0.22096	0.51319
EPPK1	4	-0.027436	-0.15699	0.88525	0.97681	0.87526	0.93049
OPN3	4	0.034896	0.66671	0.66272	0.93439	0.50496	0.72121
MTF1	4	0.2629	1.3208	0.087352	0.46459	0.18656	0.50162
VPREB3	4	0.1048	0.65983	0.42269	0.82974	0.50937	0.7238
TRIM71	4	0.26284	1.4111	0.087402	0.46459	0.15821	0.5
PLA2G3	4	-0.33464	-1.9003	0.38381	0.80654	0.057395	0.44901
TPTE	4	0.017197	0.26736	0.72676	0.94615	0.7892	0.88012
BRI3	4	-0.15025	-1.7841	0.73978	0.9486	0.074414	0.5
CCDC51	4	-0.41898	-1.9379	0.27662	0.73441	0.05264	0.43157
RHOD	4	-0.047848	-0.68335	0.95665	0.99145	0.49438	0.71432
MS4A5	4	0.1408	1.2635	0.31784	0.76557	0.20643	0.50644
LRRD1	4	0.11087	1.4711	0.40509	0.8218	0.14127	0.5
C19orf60	4	-0.18867	-1.2339	0.64925	0.93013	0.21724	0.51109
MANEA	4	0.29514	1.3769	0.05787	0.38479	0.16856	0.5
TCL1B	4	-0.29527	-1.2051	0.44472	0.84221	0.22818	0.51693
HIST1H3G	4	-0.026164	-0.8951	0.88068	0.97582	0.37074	0.61769
PARP15	4	0.24918	0.97899	0.10421	0.50787	0.32759	0.58528
CDK16	4	-0.01917	-0.23856	0.85746	0.97162	0.81145	0.89278
ZNF665	4	0.11832	0.54058	0.38093	0.80532	0.5888	0.75008
ALOX12B	4	0.049685	0.5201	0.60893	0.91685	0.60299	0.75568
DGKK	4	0.28557	1.5647	0.064532	0.40436	0.11766	0.5
OR4C16	4	0.32029	1.398	0.039326	0.3073	0.16212	0.5
MYCN	4	0.035873	0.61516	0.65914	0.93353	0.53845	0.73521
SLAMF9	4	0.020422	0.09968	0.71527	0.94393	0.9206	0.95739
CASC1	4	0.1121	0.39031	0.40087	0.81843	0.69631	0.81977
CEP128	4	0.27474	1.3665	0.073929	0.43105	0.17178	0.5
LRBA	4	-0.05949	-1.3672	0.99577	0.99905	0.17158	0.5
BGLAP	4	-0.44098	-2.2958	0.25102	0.70843	0.021689	0.28292
FAM217B	4	0.35659	1.3322	0.022919	0.22867	0.1828	0.50155
C14orf166	4	0.27268	1.2728	0.075868	0.4362	0.2031	0.50508
ITGAX	4	-0.35117	-1.4852	0.36054	0.79291	0.13749	0.5
NLGN3	4	0.1044	0.93787	0.42383	0.83018	0.34831	0.60011
NUPR1L	4	-0.17707	-0.91261	0.6757	0.93674	0.36145	0.61093
C1orf228	4	0.11442	1.0906	0.39266	0.81224	0.27546	0.54712
FAM189A2	4	0.11	0.70367	0.40797	0.82323	0.48164	0.70548
SLC8A1	4	0.16807	1.5635	0.24923	0.70655	0.11793	0.5
EXOSC10	4	-1.5327	-2.4583	0.0021875	0.056848	0.013961	0.22044
CLRN2	4	-0.065261	-0.42882	0.98568	0.99839	0.66805	0.79979
UGT2B10	4	0.21985	0.9634	0.14721	0.58529	0.33535	0.59088
CADM1	4	0.068212	0.81699	0.54574	0.89142	0.41393	0.65209
PARM1	4	0.15853	1.3453	0.2719	0.72939	0.17852	0.50061
HDX	4	0.27833	1.3325	0.070796	0.42368	0.18269	0.50155
TRIM38	4	-0.0061471	-0.056569	0.80973	0.9626	0.95489	0.97538
MRPL34	4	-1.2415	-2.5238	0.0068609	0.10858	0.01161	0.19757
DAZ1	4	0.2238	1.4744	0.14085	0.57675	0.14038	0.5
F13A1	4	0.0052756	0.051312	0.76827	0.95338	0.95908	0.97785
OMD	4	0.25543	1.4659	0.096699	0.48908	0.14267	0.5
INS	4	-0.16651	-1.8532	0.70011	0.94219	0.063848	0.46785
FBXL15	4	0.04871	0.35183	0.61201	0.91766	0.72497	0.83797
TRPM1	4	0.23415	1.6165	0.12494	0.55009	0.10598	0.5
SLC2A14	4	0.059327	0.53386	0.57358	0.90404	0.59344	0.75119
ZNF655	4	0.090883	0.94743	0.46848	0.85539	0.34342	0.59686
GTSF1L	4	-0.14154	-0.75863	0.76181	0.95233	0.44807	0.68089
DMPK	4	-0.27045	-1.6656	0.48454	0.8635	0.095786	0.5
TGIF1	4	-0.81083	-2.6635	0.051805	0.36408	0.0077339	0.15463
CRISP1	4	0.070024	1.049	0.53913	0.88711	0.29417	0.56042
COMMD6	4	0.14831	1.2057	0.29815	0.74931	0.22793	0.51675
OR6T1	4	0.24756	1.5842	0.10619	0.51297	0.11315	0.5
SMAD4	4	-0.10938	-0.58174	0.85015	0.97027	0.56074	0.74023
NSUN4	4	-0.39238	-1.47	0.30799	0.75811	0.14156	0.5
RIT2	4	-0.014429	-0.10111	0.84081	0.96981	0.91946	0.95675
RPA2	4	-0.96654	-1.8608	0.026002	0.24485	0.062772	0.46419
CNPPD1	4	-0.050381	-0.28037	0.96505	0.9935	0.77919	0.87398
ZNF275	4	-0.020763	-0.62933	0.86253	0.97215	0.52913	0.73361
LST1	4	0.073496	0.4308	0.52724	0.88133	0.66662	0.79864
WDR75	4	-0.72304	-1.3487	0.076514	0.43734	0.17744	0.50061
CST7	4	0.32522	1.4789	0.036393	0.29303	0.13917	0.5
S100Z	4	0.12378	0.56865	0.36487	0.79681	0.56959	0.7418
RPL10L	4	0.051542	0.41772	0.60222	0.91475	0.67615	0.80546
GFRA3	4	-0.1407	-1.1697	0.76385	0.95305	0.2421	0.52605
OCLM	4	0.13789	0.87613	0.32515	0.77049	0.38096	0.62634
GPA33	4	-0.17836	-1.0899	0.67237	0.93627	0.27576	0.5475
PPIL3	4	-0.031799	-0.34985	0.90047	0.97945	0.72645	0.83888
TMEM231	4	0.12092	0.98614	0.37273	0.80064	0.32407	0.58245
FPR3	4	-0.1958	-1.758	0.63364	0.92634	0.078754	0.5
CHST13	4	0.34016	1.4957	0.029631	0.26194	0.13474	0.5
TTC9B	4	0.31466	1.4853	0.042557	0.32156	0.13748	0.5
JSRP1	4	0.10885	0.67012	0.4115	0.826	0.50278	0.71975
ARMT1	4	0.044027	0.26608	0.62956	0.92607	0.79017	0.88069
UCKL1	4	0.20662	1.4843	0.17073	0.61826	0.13773	0.5
OSCAR	4	-0.41959	-1.5251	0.27583	0.73381	0.12724	0.5
ARSE	4	0.019049	0.2509	0.7199	0.94521	0.80189	0.88647
COLEC12	4	-0.40387	-2.0202	0.29378	0.7475	0.043358	0.39758
ADAMTS13	4	0.33381	1.4108	0.032366	0.27545	0.1583	0.5
MAPK12	4	0.075485	1.1993	0.52018	0.87898	0.23041	0.51818
CNTLN	4	0.085214	0.53023	0.48702	0.86416	0.59595	0.75245
KPNA5	4	0.1815	1.1053	0.22034	0.6754	0.26905	0.54275
C7orf76	4	0.17181	1.2852	0.24033	0.69654	0.19871	0.50359
IFIT5	4	-0.13589	-1.1616	0.77712	0.9555	0.24541	0.52739
PCDHA2	4	0.17016	0.99648	0.24421	0.70011	0.31901	0.57886
IL12B	4	0.014069	0.40659	0.73784	0.94819	0.68431	0.81136
THAP2	4	0.21751	1.3494	0.15154	0.59265	0.1772	0.50061
DDAH1	4	-0.097072	-0.21306	0.88585	0.97681	0.83128	0.90476
ENTPD6	4	0.15724	0.8394	0.27558	0.73381	0.40124	0.6417
TARSL2	4	0.14649	1.4933	0.30263	0.75356	0.13537	0.5
PBX3	4	-0.066451	-0.55871	0.9818	0.99747	0.57636	0.7439
PIWIL4	4	0.23487	1.5159	0.12394	0.54857	0.12955	0.5
LMCD1	4	0.22142	1.3533	0.14443	0.58137	0.17597	0.50026
ZFYVE1	4	-0.037295	-0.40214	0.91971	0.98274	0.68758	0.81363
KRT81	4	0.29019	1.3627	0.061102	0.39328	0.17298	0.5
FNBP1L	4	0.23949	1.2425	0.11683	0.5343	0.21406	0.50975
ACP2	4	-0.15343	-1.4962	0.73103	0.9467	0.13461	0.5
HADHA	4	0.030558	0.65092	0.67903	0.93701	0.5151	0.72722
CYP4X1	4	0.013463	0.22848	0.73939	0.94854	0.81927	0.89735
SEP15	4	0.099199	1.55	0.44109	0.84087	0.12115	0.5
RHOF	4	0.11527	1.3415	0.39003	0.81034	0.17977	0.50061
TIGAR	4	0.36336	1.4816	0.020931	0.21656	0.13846	0.5
SLC25A29	4	-0.37834	-1.5751	0.3247	0.77049	0.11523	0.5
RYR2	4	-0.12404	-1.1845	0.80929	0.9626	0.23622	0.5218
MMP17	4	-0.25576	-1.4366	0.51153	0.87648	0.15082	0.5
SLC38A5	4	0.065102	0.8192	0.55578	0.89539	0.41267	0.65148
HERC4	4	0.10742	0.80096	0.41528	0.8267	0.42315	0.65913
CST2	4	0.21644	1.402	0.15362	0.59503	0.16093	0.5
FER	4	0.10648	0.7059	0.41827	0.82862	0.48025	0.70468
STRA8	4	-0.078911	-0.68953	0.94193	0.98677	0.49049	0.71169
DHRS4L2	4	0.079296	0.50928	0.50751	0.8757	0.61056	0.75995
PDE8A	4	-0.0026391	-0.012371	0.79666	0.95895	0.99013	0.99533
PIK3IP1	4	-0.059639	-0.43912	0.99652	0.99905	0.66057	0.79433
PRKACB	4	0.033428	0.70953	0.66889	0.93595	0.47799	0.7029
SMIM23	4	0.15978	1.2144	0.26862	0.72566	0.2246	0.51464
POLR2I	4	-1.5258	-2.3211	0.0021875	0.056848	0.02028	0.27339
COLEC10	4	0.30503	1.4322	0.050413	0.35868	0.15209	0.5
RAMP3	4	0.15397	1.5074	0.28398	0.73932	0.13172	0.5
ARHGEF6	4	0.33542	1.4878	0.031321	0.27039	0.1368	0.5
CDSN	4	0.13122	0.91874	0.34295	0.78315	0.35823	0.6079
KRTAP6-1	4	-0.0062836	-0.027484	0.81038	0.96274	0.97807	0.98879
TMEM43	4	0.27377	1.4134	0.074774	0.43251	0.15754	0.5
HAUS3	4	-0.71327	-1.9603	0.079745	0.44568	0.049961	0.42438
VMA21	4	-1.1263	-2.1659	0.011882	0.15489	0.030316	0.33708
C15orf53	4	-0.34025	-1.6934	0.37591	0.8026	0.090384	0.5
PGAM4	4	-0.25891	-1.4334	0.50477	0.8733	0.15173	0.5
REEP3	4	0.18021	1.4644	0.22303	0.67774	0.14309	0.5
DPYSL2	4	-0.14874	-1.0693	0.74381	0.94873	0.28495	0.55339
ERVV-2	4	-0.34024	-2.0393	0.37591	0.8026	0.041421	0.39078
OAZ2	4	0.075075	0.5589	0.52193	0.87898	0.57623	0.74388
SZT2	4	0.19028	1.4674	0.2021	0.65512	0.14228	0.5
FAHD2A	4	-0.11679	-0.80177	0.82893	0.96635	0.42269	0.65891
ATP2B2	4	0.17373	1.1459	0.23665	0.69327	0.25183	0.53015
CNGB1	4	-0.11997	-1.1628	0.82052	0.96446	0.24489	0.52739
SEC23B	4	0.24426	1.4024	0.11052	0.52268	0.16079	0.5
CAPRIN1	4	-0.66392	-2.1011	0.097345	0.48987	0.035629	0.36308
ZNF541	4	-0.024872	-0.32754	0.87596	0.97498	0.74326	0.85039
SUCLG2	4	0.13554	0.8668	0.33106	0.77457	0.38605	0.62997
SULT1A4	4	-0.77082	-2.3664	0.061052	0.39328	0.017961	0.25514
NOA1	4	-0.45823	-1.9174	0.23431	0.69083	0.055187	0.44105
KRTAP22-2	4	0.1854	0.63392	0.21204	0.66506	0.52613	0.73224
MESDC1	4	-0.055845	-0.90889	0.98429	0.99813	0.36341	0.61235
TRANK1	4	0.017618	0.22289	0.72502	0.94581	0.82362	0.8999
ZNF816-ZNF321P	4	0.072919	0.69298	0.52923	0.88238	0.48832	0.71
CST5	4	0.087978	0.66608	0.47847	0.86091	0.50536	0.72157
ZIC1	4	0.17823	1.3869	0.2272	0.68321	0.16548	0.5
SCNN1B	4	0.40736	1.5032	0.011833	0.15435	0.1328	0.5
SUGT1	4	-0.25222	-0.91737	0.5182	0.87898	0.35895	0.60866
IGIP	4	0.092239	1.2295	0.46336	0.85132	0.2189	0.51188
COX8A	4	-0.25893	-0.96829	0.50462	0.87327	0.3329	0.58958
MARVELD3	4	-0.033721	-0.37386	0.90738	0.98083	0.70851	0.82729
C3orf38	4	-0.10061	-0.58171	0.87491	0.97498	0.56076	0.74023
NT5C3B	4	0.085064	1.0274	0.48747	0.86426	0.30423	0.56679
USP34	4	-0.3433	-1.3869	0.37178	0.79987	0.16548	0.5
MET	4	0.28255	1.4152	0.067217	0.4127	0.15701	0.5
PTPN1	4	0.33371	1.4071	0.032415	0.27545	0.15939	0.5
PIM2	4	0.049058	0.64219	0.61072	0.91766	0.52075	0.73037
LGALS7B	4	-0.27258	-1.1875	0.48136	0.86208	0.23504	0.52156
TMEM169	4	-0.25026	-1.221	0.52128	0.87898	0.22207	0.51342
CLN6	4	-0.094291	-0.92111	0.8943	0.97849	0.35699	0.60676
CAP2	4	-0.18361	-1.6572	0.66024	0.93362	0.097489	0.5
PRPSAP2	4	0.14856	0.89066	0.29765	0.74912	0.37311	0.6191
LIMCH1	4	-0.025611	-0.32525	0.87849	0.97533	0.74499	0.85126
TMEM131	4	-0.34107	-1.7509	0.37481	0.80236	0.079965	0.5
ZFYVE28	4	0.1623	1.2897	0.26255	0.72101	0.19714	0.50359
DHX33	4	-1.8485	-3.6432	0.00034802	0.015766	0.00026923	0.019341
ZNF619	4	0.061201	0.44509	0.56771	0.90126	0.65625	0.79174
TP53	4	0.47413	1.3837	0.0050711	0.091316	0.16644	0.5
LUM	4	0.20677	0.93399	0.17058	0.61826	0.35031	0.60136
OR51S1	4	0.057284	0.93756	0.58069	0.90625	0.34847	0.60011
LOC388436	4	-0.51401	-1.6504	0.18415	0.63197	0.098863	0.5
FGD4	4	-0.060881	-0.47369	0.9997	0.99985	0.63572	0.77702
PRKAB2	4	0.17897	0.85171	0.22561	0.68179	0.39438	0.63664
CHML	4	0.22071	1.5273	0.14557	0.58259	0.1267	0.5
SRSF2	4	-1.7548	-2.5495	0.0005966	0.023483	0.010787	0.18949
HP1BP3	4	-0.023166	-0.12023	0.87089	0.97436	0.9043	0.94784
TOMM22	4	-1.2641	-3.1341	0.0058666	0.097521	0.0017238	0.063385
TEFM	4	-0.5238	-1.3148	0.17595	0.62223	0.18858	0.50167
HUNK	4	0.28508	1.1177	0.06493	0.40534	0.2637	0.5391
OR2D3	4	0.21534	1.4298	0.15522	0.59694	0.15277	0.5
ST3GAL6	4	0.12847	1.3732	0.35115	0.78919	0.16969	0.5
ATP6V0D1	4	-2.0977	-2.2467	0.00014915	0.0097087	0.024661	0.30172
TUBB4B	4	-1.3003	-2.9063	0.0051208	0.091719	0.003657	0.097659
FUT1	4	-0.22607	-1.5057	0.56965	0.90209	0.13214	0.5
LSM2	4	-2.2736	-3.6465	9.9433e-05	0.0097087	0.00026589	0.019311
DYX1C1	4	-0.071649	-0.65415	0.9646	0.9935	0.51302	0.72612
CC2D1A	4	0.021034	0.16058	0.71309	0.94349	0.87242	0.92914
ATF5	4	-0.37586	-1.8584	0.32843	0.77287	0.063114	0.46535
RPGR	4	0.2396	1.624	0.11673	0.5343	0.10437	0.5
MSX1	4	0.16678	1.2186	0.25211	0.70973	0.22299	0.51379
LSM1	4	0.2261	1.037	0.13776	0.57313	0.29972	0.56413
CHI3L1	4	0.01371	0.089094	0.73874	0.94839	0.92901	0.96156
FAM196B	4	0.30434	1.4194	0.05081	0.36024	0.15577	0.5
